IPA Symbol,Sound
p,voiceless bilabial stop
b,voiced bilabial stop
t,voiceless alveolar stop
d,voiced alveolar stop
k,voiceless velar stop
g,voiced velar stop
m,bilabial nasal
n,alveolar nasal
ŋ,velar nasal
f,voiceless labiodental fricative
v,voiced labiodental fricative
θ,voiceless dental fricative
ð,voiced dental fricative
s,voiceless alveolar fricative
z,voiced alveolar fricative
ʃ,voiceless postalveolar fricative
ʒ,voiced postalveolar fricative
ʧ,voiceless postalveolar affricate
ʤ,voiced postalveolar affricate
r,alveolar trill
ʋ,labiodental approximant
j,palatal approximant
l,alveolar lateral approximant
w,labio-velar approximant
i,close front unrounded vowel
u,close back rounded vowel
e,close-mid front unrounded vowel
o,close-mid back rounded vowel
a,open front unrounded vowel
